Source Name	Comment [GEO_sample]	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Characteristics [strain]	Characteristics[sex]	Characteristics [age]	Unit[time unit]	Characteristics[organism part]	Characteristics [cell type]	Characteristics [FACS marker]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[single cell isolation]	Comment[input molecule]	Comment[library construction]	Comment[end bias]	Comment[primer]	Comment[spike in]	Comment[spike in dilution]	Comment[LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment[technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue[single cell identifier]	FactorValue [cell type]
HSPC_006	GSM2166426 1	SRS1453985	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_006	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166426 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166426	HSPC_006	SRX1782995	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556269	SRR3556269	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/009/SRR3556269/SRR3556269.fastq.gz	HSPC_006	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_006	GSM2168352 1	SRS1455904	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_006	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168352 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168352	HSPC_006	SRX1784915	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558189	SRR3558189	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/009/SRR3558189/SRR3558189.fastq.gz	HSPC_006	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_007	GSM2166427 1	SRS1453986	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_007	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166427 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166427	HSPC_007	SRX1782996	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556270	SRR3556270	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/000/SRR3556270/SRR3556270.fastq.gz	HSPC_007	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_007	GSM2168353 1	SRS1455906	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_007	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168353 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168353	HSPC_007	SRX1784916	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558190	SRR3558190	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/000/SRR3558190/SRR3558190.fastq.gz	HSPC_007	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_008	GSM2166428 1	SRS1453987	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_008	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166428 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166428	HSPC_008	SRX1782997	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556271	SRR3556271	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/001/SRR3556271/SRR3556271.fastq.gz	HSPC_008	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_008	GSM2168354 1	SRS1455909	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_008	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168354 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168354	HSPC_008	SRX1784917	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558191	SRR3558191	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/001/SRR3558191/SRR3558191.fastq.gz	HSPC_008	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_009	GSM2166429 1	SRS1453988	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_009	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166429 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166429	HSPC_009	SRX1782998	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556272	SRR3556272	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/002/SRR3556272/SRR3556272.fastq.gz	HSPC_009	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_009	GSM2168355 1	SRS1455907	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_009	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168355 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168355	HSPC_009	SRX1784918	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558192	SRR3558192	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/002/SRR3558192/SRR3558192.fastq.gz	HSPC_009	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_010	GSM2166430 1	SRS1453989	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_010	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166430 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166430	HSPC_010	SRX1782999	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556273	SRR3556273	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3556273/SRR3556273.fastq.gz	HSPC_010	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_010	GSM2168356 1	SRS1455908	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_010	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168356 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168356	HSPC_010	SRX1784919	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558193	SRR3558193	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/003/SRR3558193/SRR3558193.fastq.gz	HSPC_010	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_011	GSM2166431 1	SRS1453990	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_011	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166431 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166431	HSPC_011	SRX1783000	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556274	SRR3556274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3556274/SRR3556274.fastq.gz	HSPC_011	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_011	GSM2168357 1	SRS1455910	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_011	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168357 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168357	HSPC_011	SRX1784920	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558194	SRR3558194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/004/SRR3558194/SRR3558194.fastq.gz	HSPC_011	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_012	GSM2166432 1	SRS1453991	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_012	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166432 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166432	HSPC_012	SRX1783001	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556275	SRR3556275	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3556275/SRR3556275.fastq.gz	HSPC_012	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_012	GSM2168358 1	SRS1455911	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_012	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168358 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168358	HSPC_012	SRX1784921	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558195	SRR3558195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/005/SRR3558195/SRR3558195.fastq.gz	HSPC_012	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_013	GSM2166433 1	SRS1453992	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_013	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166433 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166433	HSPC_013	SRX1783002	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556276	SRR3556276	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3556276/SRR3556276.fastq.gz	HSPC_013	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_013	GSM2168359 1	SRS1455912	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_013	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168359 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168359	HSPC_013	SRX1784922	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558196	SRR3558196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/006/SRR3558196/SRR3558196.fastq.gz	HSPC_013	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_014	GSM2166434 1	SRS1453993	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_014	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166434 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166434	HSPC_014	SRX1783003	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556277	SRR3556277	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3556277/SRR3556277.fastq.gz	HSPC_014	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_014	GSM2168360 1	SRS1455913	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_Rep_014	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2168360 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2168360	HSPC_014	SRX1784923	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3558197	SRR3558197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/007/SRR3558197/SRR3558197.fastq.gz	HSPC_014	hematopoietic stem cell and hematopoietic multipotent progenitor cell
HSPC_015	GSM2166435 1	SRS1453994	single cell RNA-Seq	Bone Marrow	Haematopoietic stem cell/multipotent progenitor HSPC_015	Mus musculus	C57BL/6	female	8 to 12	week	bone marrow	hematopoietic stem cell and hematopoietic multipotent progenitor cell	Lin- Sca1+ c-Kit+	cell	P-GSE81682-1	P-GSE81682-2	P-GSE81682-3	P-GSE81682-4	GSM2166435 extract 1	FACS	polyA RNA	smart-seq2	none	oligo-dT	ERCC	not available	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM2166435	HSPC_015	SRX1783004	Illumina HiSeq 2500 (Mus musculus)	sequencing assay	P-GSE81682-5	SRR3556278	SRR3556278	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR355/008/SRR3556278/SRR3556278.fastq.gz	HSPC_015	hematopoietic stem cell and hematopoietic multipotent progenitor cell
