Assay,Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Sample Characteristic[strain],Sample Characteristic Ontology Term[strain],Sample Characteristic[sex],Sample Characteristic Ontology Term[sex],Sample Characteristic[age],Sample Characteristic Ontology Term[age],Sample Characteristic[organism part],Sample Characteristic Ontology Term[organism part],Sample Characteristic[cell type],Sample Characteristic Ontology Term[cell type],Sample Characteristic[facs marker],Sample Characteristic Ontology Term[facs marker],Factor Value[single cell identifier],Factor Value Ontology Term[single cell identifier],Factor Value[cell type],Factor Value Ontology Term[cell type]
HSPC_022,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_022,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_023,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_023,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_024,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_024,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_025,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_025,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_026,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_026,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_027,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_027,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_028,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_028,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_029,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_029,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_030,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_030,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_031,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_031,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_032,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_032,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_033,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_033,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_034,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_034,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_035,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_035,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_036,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_036,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_037,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_037,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_038,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_038,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_039,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_039,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_040,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_040,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_041,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_041,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_042,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_042,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_043,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_043,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_044,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_044,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_045,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_045,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_046,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_046,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_047,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_047,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_048,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_048,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_049,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_049,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_050,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_050,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_051,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_051,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_052,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_052,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_053,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_053,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_054,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_054,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_055,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_055,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_056,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_056,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_057,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_057,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_058,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_058,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_059,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_059,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_060,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_060,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
